#LSD# 2048 1024 pano.pgm (width height input)
# FORMAT: x1, y1, x2, y2, width, p, -log10(NFA)
1769.401698 718.242117 1842.112486 701.666777 4.641577 0.125000 99.930375 
1516.962657 639.624026 1476.674496 653.805385 2.971276 0.125000 23.899407 
1725.387056 723.923836 1768.271931 717.925476 3.765597 0.125000 69.286215 
111.136059 504.335905 115.545504 561.976705 4.488080 0.125000 101.584761 
979.944570 523.299682 981.156462 510.676021 3.971744 0.125000 9.022904 
1743.147369 670.951941 1666.997268 676.162053 3.038894 0.125000 43.060949 
1177.793705 600.574102 1177.390483 613.101358 3.949127 0.125000 2.487704 
1258.874261 579.540106 1257.661746 566.682922 4.508464 0.125000 1.079023 
1642.692146 704.204989 1640.398370 710.045028 3.361824 0.062500 0.495305 
1683.239099 619.718596 1696.745032 615.233618 3.169443 0.125000 2.061719 
916.406126 641.837179 917.073256 655.615401 2.980700 0.125000 2.903007 
1313.302314 599.339386 1315.812546 611.837331 3.922723 0.125000 0.877478 
1590.698432 545.380542 1575.596403 546.483401 2.948568 0.125000 11.633415 
1597.958870 550.634482 1600.531076 595.701704 3.208215 0.125000 35.159481 
1090.267394 478.071934 1088.761572 488.219463 5.129324 0.125000 1.095887 
1090.348047 468.182129 1113.122429 470.648734 7.725586 0.125000 34.276669 
1694.305350 759.957926 1730.551748 756.173422 4.064315 0.125000 49.748885 
1991.881168 611.711786 1951.868268 611.938872 5.035390 0.125000 31.735402 
699.263826 657.072532 720.210409 668.861635 4.357286 0.125000 16.340649 
1660.631302 747.387750 1689.379201 747.633480 6.410037 0.125000 31.555516 
1631.912215 575.525013 1666.916010 574.392262 4.273626 0.125000 27.615309 
1855.964794 716.627187 1884.050497 707.104654 7.422969 0.125000 82.196484 
263.185692 433.463222 208.163001 443.336767 3.943943 0.125000 84.789993 
1671.924406 574.242713 1713.204257 572.418031 4.663925 0.125000 28.925178 
1925.727669 684.069751 1907.739997 678.019663 4.771244 0.125000 11.160423 
626.608089 832.155540 649.713340 836.184870 5.727583 0.125000 20.667559 
925.548490 290.021585 953.156246 288.881925 7.287391 0.125000 43.019065 
1510.703570 649.068251 1535.634710 646.991573 3.113940 0.125000 15.664401 
1562.683035 551.836117 1564.972147 599.406416 3.158004 0.125000 47.099377 
1520.403356 613.123947 1520.522140 588.124511 6.344958 0.125000 51.344966 
1691.181403 749.313339 1692.291330 759.328862 3.310886 0.125000 2.199180 
1674.401283 576.189255 1665.554028 576.601364 2.846267 0.062500 0.521528 
1676.111619 586.868594 1676.195528 576.869298 5.020802 0.125000 0.877478 
1697.558657 505.564676 1699.000738 521.908024 4.284831 0.125000 5.203377 
1910.626327 599.323662 1929.363805 599.808046 5.030633 0.125000 16.978593 
1526.109189 584.406014 1527.223130 611.911525 4.894740 0.125000 25.910872 
1153.221503 547.499815 1165.807517 549.442590 3.882168 0.125000 0.681697 
1491.815596 596.763761 1475.535618 605.457626 3.019158 0.125000 4.662531 
1221.852339 590.411396 1226.240190 564.268453 4.310307 0.125000 18.931026 
1995.644956 638.077979 1949.366219 638.845702 4.709043 0.125000 88.818749 
1816.478155 479.321630 1958.658335 464.486483 9.751950 0.125000 388.612298 
680.629891 708.146052 646.679691 716.034421 8.240056 0.125000 47.524351 
966.804610 507.507291 1000.416365 511.249114 6.628922 0.125000 40.796602 
1055.837666 560.454478 1060.955418 491.806445 5.729606 0.125000 120.832991 
1119.206453 665.190414 1162.028180 660.906000 5.847571 0.125000 76.379344 
1671.858599 505.067315 1695.661535 504.367283 4.226077 0.125000 30.206549 
1370.650155 595.628556 1368.695693 609.455667 2.838348 0.125000 8.021055 
1701.216503 580.558321 1702.623613 593.040610 2.764313 0.125000 0.309775 
1000.392917 513.075749 999.601793 536.882537 4.163090 0.125000 18.504275 
1102.185332 667.852536 1118.467600 665.584154 10.218616 0.125000 30.931423 
1641.052257 583.146086 1640.310742 598.171181 3.051494 0.125000 9.899782 
1776.911073 673.240136 1746.383061 682.804864 7.443561 0.125000 54.889505 
1076.099579 462.595496 1090.135522 468.118860 6.731350 0.125000 13.453599 
1102.373681 410.361576 1097.239205 425.005771 15.457068 0.125000 1.312353 
1057.557696 634.028913 1074.746853 667.936492 6.294589 0.125000 64.554245 
1605.712042 560.606653 1609.854840 580.260368 4.892489 0.125000 12.426573 
269.418483 326.998116 217.964695 345.171122 4.097655 0.125000 48.950607 
1224.267358 442.015030 1217.318863 436.673698 6.020338 0.125000 2.311541 
1944.362139 643.189387 1996.896636 642.619495 3.790457 0.125000 96.280351 
0.598631 637.905949 63.244145 630.364753 4.424216 0.125000 72.905181 
111.317425 556.920096 107.174996 505.701834 3.765142 0.125000 78.824781 
1750.746904 303.364659 1728.325584 314.769343 6.195319 0.125000 45.460087 
1835.125015 663.020539 1777.306018 674.120207 7.562590 0.125000 199.677769 
83.119300 502.721986 110.649153 502.332594 3.838018 0.125000 16.811158 
1786.144052 735.056786 1857.794416 717.987348 10.471832 0.125000 235.469773 
1841.219756 701.252313 1876.682468 690.017284 4.211808 0.125000 54.918072 
64.264895 630.080956 106.079044 621.618490 4.360951 0.125000 34.534637 
878.573279 565.666335 885.026067 495.685033 4.175473 0.125000 108.091887 
1135.544176 620.130026 1108.161944 624.601249 5.362533 0.125000 27.377231 
1225.557737 583.021894 1240.725496 583.911458 4.107347 0.125000 2.120866 
1695.624101 613.118151 1680.394288 615.118164 4.369099 0.125000 5.510559 
677.547795 644.027980 693.622008 654.302981 4.212843 0.125000 2.861939 
1174.740281 652.513216 1163.695876 645.918878 4.965538 0.062500 4.956770 
1910.750891 616.720961 1912.959660 600.602343 5.072914 0.125000 2.052062 
1590.098271 722.510592 1554.468404 763.055549 3.983502 0.125000 60.506886 
1997.907146 641.700138 2046.942717 637.706441 4.910262 0.125000 64.185582 
1077.052990 471.819762 1075.764900 496.817799 3.873680 0.125000 0.293368 
1608.445522 628.103203 1605.212839 580.568022 4.589476 0.125000 68.404309 
1958.416309 490.544190 1957.975739 509.400718 7.731533 0.125000 10.311502 
1896.747849 659.541046 1893.259426 630.608792 5.562573 0.125000 20.912740 
1745.339872 680.018183 1674.146850 683.638619 11.489422 0.125000 235.527179 
2004.480223 600.667585 2008.661469 590.336224 5.103755 0.125000 0.549695 
1079.473505 485.689219 1086.484361 474.935245 6.236487 0.125000 8.335090 
1721.882977 579.543670 1703.115836 580.431227 3.509612 0.125000 8.930644 
1162.418807 660.614509 1177.928739 657.226530 4.730649 0.125000 10.957046 
39.333997 590.432965 40.944817 600.574201 3.703571 0.125000 1.160011 
46.591128 568.671187 52.824679 586.177044 5.629287 0.125000 17.707339 
934.952010 544.432421 936.811876 525.743112 2.611494 0.125000 10.184322 
1701.916279 471.652588 1553.108017 467.480804 5.220136 0.125000 211.222737 
1701.872851 593.993685 1720.629301 593.887962 2.584508 0.125000 5.439020 
1641.542536 700.570934 1640.070167 675.584037 3.304496 0.125000 26.669570 
1004.281083 539.298760 1006.056216 508.007639 4.354790 0.125000 40.295287 
1148.001195 523.903210 1157.067243 545.544465 4.829862 0.125000 17.591635 
1569.314077 553.071679 1595.681754 551.839146 2.753681 0.125000 25.352476 
208.031485 443.960681 119.940770 463.843528 7.820741 0.125000 183.353890 
1569.482322 599.303483 1567.110916 554.296707 3.350178 0.125000 38.280511 
1372.481033 641.860399 1372.934285 621.870676 2.556029 0.125000 3.828174 
85.112272 483.217625 96.249149 478.283885 5.584096 0.125000 2.886323 
1617.479043 407.099411 1611.128165 388.818719 13.038371 0.125000 3.219039 
1782.705008 449.170432 1702.864708 472.223525 3.890665 0.125000 128.945361 
450.697738 832.128093 543.162675 827.653532 3.323060 0.125000 94.696339 
1322.225900 511.843732 1321.616521 529.366011 2.976390 0.125000 15.175764 
1004.455979 504.459076 956.838410 501.151818 4.433864 0.125000 73.360034 
962.871693 506.753741 962.162384 515.547354 3.838361 0.125000 0.309775 
1033.061381 529.339637 1048.115882 529.728236 5.288632 0.125000 12.918663 
51.718684 587.953916 41.702379 589.055684 3.720023 0.125000 2.042418 
1542.289773 599.351684 1541.589308 586.891060 2.987159 0.125000 0.386167 
1721.779112 594.391372 1723.716416 605.737451 2.470500 0.125000 0.796335 
1573.190978 634.914670 1530.594058 630.958130 4.543173 0.125000 31.699739 
230.243475 337.110850 268.449533 322.737656 4.111695 0.125000 62.859099 
511.910366 642.390868 403.111770 637.149628 5.850818 0.125000 176.966225 
1110.474726 471.934863 1156.856737 469.078454 5.930842 0.125000 55.185572 
1569.117833 435.470230 1551.762765 464.307454 2.350327 0.125000 3.738201 
1855.482932 769.374984 1855.487492 729.374984 2.503990 0.125000 21.078305 
1110.799283 623.346528 1099.245592 621.388659 3.697290 0.125000 2.903007 
1698.121329 523.069951 1673.066031 524.740642 4.988921 0.125000 21.194804 
740.498345 850.473890 856.747361 856.742156 4.527766 0.125000 120.696307 
801.603105 479.668517 840.468270 486.514736 4.560549 0.125000 58.949075 
1086.872869 609.151632 1069.372944 609.115302 2.528539 0.125000 6.629679 
660.581845 510.274517 771.887364 512.509154 5.852076 0.125000 294.377874 
1125.724969 656.533193 1081.895308 658.563414 5.341678 0.125000 59.768690 
1529.379576 644.424362 1513.038259 645.939400 2.489324 0.125000 6.629679 
41.740796 601.800040 71.812115 598.754149 4.470681 0.125000 25.910872 
1159.301786 653.563728 1140.619754 654.227290 5.263072 0.125000 25.046196 
1276.544622 591.082061 1264.118508 596.259392 6.730771 0.125000 0.597213 
2047.040599 632.749444 1998.003931 636.571828 4.482539 0.125000 77.612237 
175.011734 625.705433 173.336597 612.933303 5.445200 0.125000 5.739950 
1283.172751 338.245841 1260.293701 347.286596 4.434507 0.125000 4.739508 
1899.156764 679.747876 1877.879356 667.294705 6.025452 0.125000 23.007245 
653.007166 676.283938 678.098903 680.770937 4.351560 0.125000 8.317803 
1448.480496 604.431802 1447.996109 596.803808 4.059330 0.125000 0.432253 
187.624920 635.632657 187.394719 620.597903 5.037688 0.125000 15.706368 
888.368100 498.148068 882.669694 558.200409 3.378982 0.125000 66.627398 
1062.238499 546.800094 1063.109773 565.567676 4.035806 0.125000 19.092280 
95.525735 479.153592 94.459637 491.669257 6.864001 0.125000 4.223543 
878.824114 496.703188 872.138404 566.780875 3.737392 0.125000 114.253383 
1661.873553 593.983548 1690.625578 594.032023 3.792144 0.125000 30.110344 
1066.453393 565.607218 1067.190169 548.138293 3.024516 0.125000 12.534851 
1375.348950 621.550482 1385.814890 622.878519 4.645521 0.125000 6.299569 
