#ELSD# 1024 512 pano.pgm (width height input)
# FORMAT:
#   line <x1> <y1> <x2> <y2>
#   circle <cx> <cy> <rx> <ry> <angle_start> <angle_end>
#   eclipse <x> <y> <rx> <ry> <rotation> <angle_start> <angle_end>
line 494.407945 396.971473 465.560562 396.576060
line 995.398829 282.846402 969.670441 276.856082
line 949.140199 386.622432 958.244304 378.158748
line 815.471181 152.659862 824.373785 151.861447
line 832.006435 213.124192 832.152388 236.873295
line 280.690835 293.350090 303.438487 286.696816
line 135.655018 301.028960 95.661014 299.609952
line 923.688093 465.628515 940.566972 473.253453
line 85.552821 190.626256 87.402926 296.931076
line 1000.585832 246.882823 1003.082725 259.383444
line 309.299348 245.689245 309.844268 278.138111
line 538.648390 374.727926 541.820461 381.258636
line 236.926611 496.121773 124.377133 499.447200
line 817.625777 208.152794 816.511852 188.145218
line 714.328321 280.625301 713.601927 168.121921
line 43.124626 220.593308 43.569771 238.145422
line 3.964100 291.880506 3.695924 271.867350
line 1013.167248 307.415173 1003.033706 308.207745
line 180.557578 477.260097 208.089067 482.080239
line 0.675752 271.873145 1.316199 289.395424
line 480.684361 282.906316 469.328088 283.559971
line 466.534732 403.952634 457.269817 411.416669
line 553.802358 220.651273 555.066689 248.207967
line 986.971943 259.553953 1000.722433 260.798544
line 944.294068 388.446343 954.827665 393.415430
line 238.233814 180.773531 247.124897 174.259870
line 793.200226 196.695530 801.979604 200.375441
line 375.267604 289.463586 385.982912 274.633607
line 371.827928 459.168463 387.170531 455.671682
line 533.080626 180.322689 511.739976 183.455098
line 807.124099 183.116359 807.817054 203.092321
line 873.134094 400.617432 861.259064 386.347355
line 801.895612 474.183297 787.067037 472.588936
line 612.957134 364.894127 631.858441 360.552902
line 283.153642 483.522965 304.382668 483.812227
line 539.903176 356.658525 550.849572 351.064438
line 670.495755 350.683093 685.717670 352.187080
line 391.920842 338.016565 374.384364 330.602850
line 69.382239 460.905366 44.366641 461.551221
line 531.926472 176.365470 511.936173 177.755035
line 435.621323 281.116921 444.383244 281.074418
line 786.881167 472.955807 768.156041 472.273329
line 123.113852 499.661904 0.556037 494.899868
line 500.670746 218.300758 524.437427 212.114849
line 855.101426 253.134816 855.321192 236.870895
line 991.871872 323.415466 973.110588 323.213449
line 438.220438 336.467195 419.334654 332.047399
line 325.621081 410.524280 345.639410 409.745309
line 573.039880 336.283624 596.836630 332.858423
line 234.376173 419.381267 192.940357 427.138748
line 300.258699 157.687925 231.772517 126.828334
line 231.406265 184.709120 239.354016 180.641572
line 708.919358 219.380688 709.652896 278.137136
line 557.942833 275.613094 561.695387 218.194955
